recall	precision
1.0	0.0017260814428631816
1.0	0.0017261118450022017
1.0	0.0017261422482122099
1.0	0.0017261726524932625
1.0	0.0017262030578454168
1.0	0.0017262334642687287
1.0	0.0017262638717632551
1.0	0.001726294280329053
1.0	0.0017263246899661782
1.0	0.0017263551006746877
1.0	0.0017263855124546384
1.0	0.0017264159253060866
1.0	0.0017264463392290888
1.0	0.0017264767542237022
1.0	0.0017265071702899828
1.0	0.0017265375874279875
1.0	0.0017265680056377732
1.0	0.001726628845272913
1.0	0.0017266592666983808
1.0	0.001726689689195856
1.0	0.001726720112765395
1.0	0.001726750537407055
1.0	0.0017267809631208923
1.0	0.0017268113899069637
1.0	0.0017268418177653257
1.0	0.0017268722466960353
1.0	0.001726902676699149
1.0	0.0017269331077747233
1.0	0.0017269635399228152
1.0	0.0017269939731434814
1.0	0.0017270244074367785
1.0	0.0017270548428027633
1.0	0.0017270852792414923
1.0	0.0017271157167530224
1.0	0.0017271461553374104
1.0	0.0017271765949947128
1.0	0.0017272070357249863
1.0	0.001727237477528288
1.0	0.0017272679204046741
1.0	0.001727298364354202
1.0	0.0017273592554729086
1.0	0.0017273897026422011
1.0	0.0017274201508848622
1.0	0.0017274506002009484
1.0	0.0017274810505905165
1.0	0.0017275115020536234
1.0	0.0017275419545903258
1.0	0.0017275724082006804
1.0	0.0017276028628847443
1.0	0.0017276333186425738
1.0	0.001727663775474226
1.0	0.0017276942333797577
1.0	0.0017277246923592257
1.0	0.0017277551524126867
1.0	0.0017277856135401975
1.0	0.0017278160757418148
1.0	0.0017278465390175959
1.0	0.001727877003367597
1.0	0.0017279074687918752
1.0	0.0017279379352904876
1.0	0.0017279684028634905
1.0	0.001727998871510941
1.0	0.001728029341232896
1.0	0.0017280598120294123
1.0	0.0017280902839005466
1.0	0.0017281207568463559
1.0	0.001728151230866897
1.0	0.001728181705962227
1.0	0.0017282121821324023
1.0	0.00172824265937748
1.0	0.001728273137697517
1.0	0.00172830361709257
1.0	0.0017283340975626962
1.0	0.0017283645791079522
1.0	0.0017283950617283952
1.0	0.0017284255454240816
1.0	0.0017284560301950686
1.0	0.0017284865160414132
1.0	0.001728517002963172
1.0	0.001728547490960402
1.0	0.0017285779800331605
1.0	0.001728608470181504
1.0	0.0017286389614054893
1.0	0.0017286694537051736
1.0	0.0017286999470806138
1.0	0.0017287304415318668
1.0	0.0017287609370589896
1.0	0.001728791433662039
1.0	0.001728821931341072
1.0	0.0017288524300961455
1.0	0.0017288829299273163
1.0	0.0017289134308346417
1.0	0.0017289439328181785
1.0	0.0017289744358779838
1.0	0.0017290049400141144
1.0	0.0017290354452266271
1.0	0.0017290659515155793
1.0	0.0017290964588810276
1.0	0.001729126967323029
1.0	0.0017291574768416409
1.0	0.0017291879874369199
